,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
73869,City Hotel,1,314,2015,August,35,27,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.8,0,0,Canceled,17-10-14
117580,City Hotel,0,170,2017,August,31,5,0,1,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.5,0,1,Check-Out,06-08-17
44567,City Hotel,0,30,2015,October,41,8,0,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,K,0,No Deposit,50.0,,0,Transient,0.0,0,0,Check-Out,08-10-15
75773,City Hotel,1,323,2015,September,36,5,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,06-07-15
16672,Resort Hotel,0,288,2015,September,36,2,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient-Party,110.7,0,0,Check-Out,07-09-15
70632,City Hotel,1,46,2017,June,25,20,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,229.0,,0,Transient-Party,90.0,0,0,Canceled,06-06-17
96077,City Hotel,0,110,2016,August,35,21,2,5,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7.0,,0,Transient,205.38,0,2,Check-Out,28-08-16
89390,City Hotel,0,7,2016,May,21,19,0,2,2,2.0,0,BB,BRA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,8.0,,0,Transient,296.0,0,2,Check-Out,21-05-16
26929,Resort Hotel,0,12,2016,August,33,13,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,270.0,0,1,Check-Out,15-08-16
52239,City Hotel,1,30,2016,June,23,2,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,235.0,,0,Transient,140.0,0,0,Canceled,03-05-16
36070,Resort Hotel,0,179,2017,May,19,7,2,0,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,74.25,0,2,Check-Out,09-05-17
1289,Resort Hotel,1,99,2015,August,34,22,2,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,166.0,0,2,Canceled,23-07-15
20844,Resort Hotel,0,35,2016,December,52,21,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,1,0,5,A,D,2,No Deposit,314.0,,0,Group,34.4,0,0,Check-Out,23-12-16
45930,City Hotel,0,84,2015,November,48,27,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,64.0,0,0,Check-Out,30-11-15
58106,City Hotel,1,454,2016,October,41,6,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,21-10-15
110077,City Hotel,0,4,2017,May,21,21,2,0,1,0.0,0,BB,DEU,Aviation,Corporate,1,0,1,A,E,0,No Deposit,,153.0,0,Transient,150.0,0,0,Check-Out,23-05-17
72236,City Hotel,1,108,2017,July,30,24,1,2,3,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,195.0,0,1,Canceled,17-04-17
44132,City Hotel,0,85,2015,September,40,30,0,3,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,31.0,,80,Transient-Party,125.0,0,0,Check-Out,03-10-15
23128,Resort Hotel,0,74,2016,April,15,9,2,5,1,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,1,No Deposit,91.0,,0,Transient-Party,36.0,0,0,Check-Out,16-04-16
115376,City Hotel,0,405,2017,July,27,4,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,114.4,0,0,Check-Out,06-07-17
45214,City Hotel,1,50,2015,October,43,24,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,146.0,0,0,Canceled,15-10-15
1962,Resort Hotel,1,352,2015,September,39,24,1,3,27,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Group,0.0,0,0,Canceled,02-01-15
81855,City Hotel,1,178,2016,April,18,28,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,46,Transient,110.0,0,0,Canceled,18-12-15
108605,City Hotel,0,214,2017,March,13,26,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.4,0,2,Check-Out,30-03-17
47411,City Hotel,0,47,2016,February,8,20,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9.0,,0,Transient-Party,71.52,0,0,Check-Out,21-02-16
11803,Resort Hotel,1,46,2017,May,22,31,1,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,172.0,0,1,Canceled,10-05-17
